type,Ticker,1/2/2018,1/3/2018,1/4/2018,1/5/2018,1/8/2018,1/9/2018,1/10/2018,1/11/2018,1/12/2018,1/16/2018,1/17/2018,1/18/2018,1/19/2018,1/22/2018,1/23/2018,1/24/2018,1/25/2018,1/26/2018,1/29/2018,1/30/2018,1/31/2018,2/1/2018,2/2/2018,2/5/2018,2/6/2018,2/7/2018,2/8/2018,2/9/2018,2/12/2018,2/13/2018,2/14/2018,2/15/2018,2/16/2018,2/20/2018,2/21/2018,2/22/2018,2/23/2018,2/26/2018,2/27/2018,2/28/2018,3/1/2018,3/2/2018,3/5/2018,3/6/2018,3/7/2018,3/8/2018,3/9/2018,3/12/2018,3/13/2018,3/14/2018,3/15/2018,3/16/2018,3/19/2018,3/20/2018,3/21/2018,3/22/2018,3/23/2018,3/26/2018,3/27/2018,3/28/2018,3/29/2018,4/2/2018,4/3/2018,4/4/2018,4/5/2018,4/6/2018,4/9/2018,4/10/2018,4/11/2018,4/12/2018,4/13/2018,4/16/2018,4/17/2018,4/18/2018,4/19/2018,4/20/2018,4/23/2018,4/24/2018,4/25/2018,4/26/2018,4/27/2018,4/30/2018,5/1/2018,5/2/2018,5/3/2018,5/4/2018,5/7/2018,5/8/2018,5/9/2018,5/10/2018,5/11/2018,5/14/2018,5/15/2018,5/16/2018,5/17/2018,5/18/2018,5/21/2018,5/22/2018,5/23/2018,5/24/2018,5/25/2018,5/29/2018,5/30/2018,5/31/2018,6/1/2018,6/4/2018,6/5/2018,6/6/2018,6/7/2018,6/8/2018,6/11/2018,6/12/2018,6/13/2018,6/14/2018,6/15/2018,6/18/2018,6/19/2018,6/20/2018,6/21/2018,6/22/2018,6/25/2018,6/26/2018,6/27/2018,6/28/2018,6/29/2018,7/2/2018,7/3/2018,7/5/2018,7/6/2018,7/9/2018,7/10/2018,7/11/2018,7/12/2018,7/13/2018,7/16/2018,7/17/2018,7/18/2018,7/19/2018,7/20/2018,7/23/2018,7/24/2018,7/25/2018,7/26/2018,7/27/2018,7/30/2018,7/31/2018,8/1/2018,8/2/2018,8/3/2018,8/6/2018,8/7/2018,8/8/2018,8/9/2018,8/10/2018,8/13/2018,8/14/2018,8/15/2018,8/16/2018,8/17/2018,8/20/2018,8/21/2018,8/22/2018,8/23/2018,8/24/2018,8/27/2018,8/28/2018,8/29/2018,8/30/2018,8/31/2018,9/4/2018,9/5/2018,9/6/2018,9/7/2018,9/10/2018,9/11/2018,9/12/2018,9/13/2018,9/14/2018,9/17/2018,9/18/2018,9/19/2018,9/20/2018,9/21/2018,9/24/2018,9/25/2018,9/26/2018,9/27/2018,9/28/2018,10/1/2018,10/2/2018,10/3/2018,10/4/2018,10/5/2018,10/8/2018,10/9/2018,10/10/2018,10/11/2018,10/12/2018,10/15/2018,10/16/2018,10/17/2018,10/18/2018,10/19/2018,10/22/2018,10/23/2018,10/24/2018,10/25/2018,10/26/2018,10/29/2018,10/30/2018,10/31/2018,11/1/2018,11/2/2018,11/5/2018,11/6/2018,11/7/2018,11/8/2018,11/9/2018,11/12/2018,11/13/2018,11/14/2018,11/15/2018,11/16/2018,11/19/2018,11/20/2018,11/21/2018,11/23/2018,11/26/2018,11/27/2018,11/28/2018,11/29/2018,11/30/2018,12/3/2018,12/4/2018,12/6/2018,12/7/2018,12/10/2018,12/11/2018,12/12/2018,12/13/2018,12/14/2018,12/17/2018,12/18/2018,12/19/2018,12/20/2018,12/21/2018,12/24/2018,12/26/2018,12/27/2018,12/28/2018,12/31/2018
Adj Close,ABBV,88.35,89.73,89.22,90.77,89.32,89.99,89.5,89.76,90.73,92.67,94.36,93.86,94.61,96.29,95.28,95.4,97.92,111.41,110.59,104.78,101.47,105.19,104.14,99.02,100.55,102.73,98.09,100.64,101.21,101.14,102.25,103.89,107.24,106.68,106.61,106.3,107.37,109.9,106.93,104.73,102.93,104.02,104.58,103.58,103.73,105.8,107.86,106.97,108.28,107.54,103.92,102.82,101.3,101.86,101.68,88.7,88.12,86.15,83.19,85.24,85.58,82.7,81.91,84.04,83.38,81.18,81.81,84.65,84.67,84.16,83.89,84.6,85.5,86.17,84.97,84.6,85.12,83.46,83.93,89.02,90.2,88.2,93.25,91.69,91.61,91.51,91.02,90.81,92.43,93.96,95.17,96.74,95.17,95.96,96.22,96.82,97.05,97.05,96.47,94.22,92.34,90.87,94.11,90.39,89.57,90.53,90.66,91.34,90.73,91.75,91.15,90.36,89.14,90.21,90.96,89.97,89.54,89.76,87.29,85.41,85.01,84.16,83.6,84.44,84.64,85.06,85.52,86.31,88.54,88.65,90.3,86.75,88.24,89.18,88.83,88.05,87.12,83.01,82.05,82.51,84.48,85.94,86.7,83.58,84.4,85.12,86.67,87.78,89.09,89.58,86.81,86.5,88.11,88.41,89.32,88.52,89.94,90.65,91.19,90.1,90.2,90.11,89.66,89.89,90.46,89.76,90.06,89.33,88.58,87.27,87.85,86.51,86.91,86.58,85.99,86.05,88.9,88.3,88.02,85.47,84,85.53,85.15,86.22,86.55,86.92,86.88,87.29,87.67,86.96,88.61,86.6,87.1,87.5,87.28,85.9,83.71,84.59,83.18,85.73,86.07,83.85,82.05,78.6,77.38,74.07,76.23,75.36,75.89,76.1,72.62,74.82,74.21,77.03,78.03,81.11,81.83,82.82,83.66,82.29,82.37,84.08,85.38,83.46,82.17,80.36,79.87,80.44,81.78,82.96,83.86,87.93,87.36,84.46,84.26,81.11,81.72,82.24,82.64,81.81,79.85,79.22,77.96,77.9,79.63,79.21,78.5,83.05,83.86,84.99,85.99
Adj Close,ABT,56.79,56.92,56.82,56.98,56.82,56.92,56.83,57.22,57.11,56.72,57.26,57.33,57.57,57.82,57.49,59.91,61.36,61.56,61.45,60.6,60.33,60.35,59.88,57,57.13,56.95,54.62,55.49,55.72,55.95,56.57,57.75,58.4,57.38,57.26,57.26,57.95,58.75,58.77,58.56,57.06,57.71,58.6,59.09,59.49,60.05,61.73,61.75,61.34,61.01,60.75,61.32,60.43,60.81,60.58,59.14,57.75,59.27,58.51,57.49,58.16,56.5,57.27,57.71,58.1,55.88,56.51,57.4,56.73,57.38,57.04,57.8,58.32,58.05,58.4,57.73,57.39,56.87,57.2,58.03,58.09,56.69,57.37,56.42,56.5,57.29,57.85,57.26,57.93,59.06,59.75,60.49,59.04,59.27,59.55,60.18,60.57,59.87,60.31,60.96,60.83,59.78,60.54,60.01,60.87,61.46,61.47,61.97,61.62,61.71,61.57,61.36,61.08,61.4,61.35,61.27,60.8,60.6,60.22,60.41,59.27,59.31,58.99,59.75,59.48,59.49,59.31,59.81,60.62,60.9,61.26,61.02,61.46,61.78,60.52,61.52,63.43,62.48,62.03,61.91,63.09,63.9,64.32,63.93,63.84,64.21,63.46,63.27,63.9,63.91,63.42,63.52,63.33,62.73,62.14,62.34,62.18,62.85,63.4,63.33,63.43,64.33,64.49,64.76,65.48,65.43,65.76,65.66,65.48,65.74,64.66,64.49,64.86,65.2,65.25,65.61,67.11,67.03,66.29,67.02,67.11,67.39,67.65,69.99,70.73,71.36,71.53,71.87,72.61,72.31,70.57,70.36,70.12,69.99,69.84,67.52,66.99,68.2,67.58,69.79,69.08,67.03,66.49,67.4,67.45,65.85,66.57,65.9,66.21,66.89,67.82,69.01,69.04,69.24,69.8,71.32,71.77,71.6,69.41,68.36,68.28,69.58,70.86,69.39,67.93,67.41,67,67.69,68.57,71.64,72.06,72.84,73.06,70.33,70.37,68.81,69.76,70.67,71.35,71,69.61,68.61,68.94,67.87,67.26,66.17,64.49,68.48,69.48,69.93,71.15
Adj Close,AGN,164.89,164.72,166.11,166.8,165.12,170.05,168.44,171.47,170.44,172.97,171.09,173.91,175.55,182.15,182.07,180.77,181.16,180.97,181.33,178.5,174.51,172.85,167.01,159.74,162.96,164.96,158.97,157.58,157.28,153.66,161.32,159.23,158.81,155.47,154.23,154.32,156.92,160.48,155.49,149.96,144.09,140.04,144.62,146.54,148.98,149.26,152.93,154.03,158.68,162.44,161.53,164.29,161.67,159.1,159.17,158.08,155.07,155.77,155.89,161.07,163.64,157.78,160.18,161.87,160.56,157.05,157.4,159.77,160.5,161.71,159.82,161.85,162.22,161,154.2,154.13,155.47,152.56,152.78,156.09,157.56,149.4,148.71,146.89,143.52,145.17,143.02,139.82,142.24,147.71,149.42,150.09,148.58,150.96,156.53,154.77,150.64,151.4,152.34,150.11,150.44,147.54,148.02,147.31,151.42,147.68,148.69,151.79,159.49,166.41,167.09,167.01,166.29,169.93,169.18,167.75,169.05,171.14,168.5,169.41,167.28,165.98,162.75,164.68,162.87,163.34,164.74,168.22,170.55,172.75,171.88,170.38,172.44,173.05,171.6,171.6,171.79,169.38,167.82,168.25,170.91,172.74,173.48,174.49,179.74,179.83,179.74,180.02,181.63,180.61,181.44,180.34,179.8,179.75,180.01,180.19,180.21,180.66,182.02,187.07,187.42,184.66,183.1,183.25,183.39,184.1,186.67,187.21,188.01,186.44,187.55,186.82,186.57,185.53,184.78,186.67,186.41,184.59,180.73,182.48,184.4,188.8,187.62,184.35,183.98,186.79,186.85,186.8,188.62,189.69,189.73,188.16,186.5,185.97,188.45,183.53,178.7,179.74,179.42,184.36,187.31,185.25,185.87,184.02,184.03,175.46,176.81,173.78,170.45,157.57,154.96,161.29,159.9,162.28,162.02,166.34,166.04,163.02,161.39,160.19,155.34,156.96,155.01,153.68,151.08,152,151.29,150.85,149.73,152.41,152.89,154.23,155.7,151.67,153.17,150.12,150.08,147.43,149.97,148.58,145.99,146.09,144.54,134.5,133.58,129.47,127.86,131.39,130.67,130.79,131.64
Adj Close,AMGN,167.98,171.15,170.43,171.45,171.4,174.04,173.54,172.69,175.61,176.09,178.43,178.03,179.64,182.53,182.21,180.92,180.4,186.02,187.91,181.52,176.57,176.11,177.48,165.85,167.65,168.43,164.3,164.62,165.96,166.98,171.66,175.56,175.51,174.97,174.44,174.46,178.5,180.25,177.66,175.72,175.27,176.98,181.81,182.02,179.32,178.97,182.73,181.01,181.44,182.23,181.44,180,174.56,174.06,173.64,168.37,162.01,167.52,163.66,163,163.02,158.78,160.86,165.92,164.47,160.78,162.19,165.55,164.86,163.53,163.97,163.88,167.22,167.44,165.36,164.05,167.01,164.41,167.18,167.69,169.69,166.84,161.87,162.01,159.11,160.63,160.7,161.11,162.21,163.29,166.28,168.26,164.8,167.47,168.29,169.88,170.05,171.87,173.39,171.48,171.75,170.98,173.68,173.08,176.89,178.69,175.12,176.87,176.63,177.59,177.89,178.33,176.99,179.03,178.28,177.25,179.41,179.72,179.22,178.41,178.61,177.87,176.85,176.67,177.87,178.55,178.95,180.54,184.06,187.1,188.57,186.12,187.02,188.78,187.79,186.86,185.78,184.78,183.56,183.06,184.43,186.01,186.99,185.44,183.69,189.4,188.71,189.23,190.78,190.42,193.11,189.06,186.91,187.34,188.49,188.63,188.15,190.58,191.53,191.67,191.42,191.94,190.73,190.77,192.67,192.69,193.79,194.37,193.85,190.86,191.85,190.3,190.44,196.46,193.52,193.55,196.87,194.59,194.82,196.3,197.14,198.98,198.98,201.03,200.3,200.66,202.66,201.1,200.74,201.47,200.73,197.4,197.93,199.44,199.85,195.2,188.07,191.5,189.75,196.3,196.72,196.67,195.78,192.11,191.74,182.27,182.49,180.43,182.57,183.44,187.04,187.14,181.48,184.25,185.06,191.72,190.17,187.4,185.84,185.83,184.68,188.01,189.7,190.41,191.91,188.32,188.13,189.82,192.55,196.77,197.7,203.45,198.25,193.2,194.42,187.02,189.61,191.66,191.88,192.97,187.64,185.7,182.78,181.21,180.69,176.05,174.29,183.53,185.94,186.33,190.18
Adj Close,AZN,32.91,32.97,33.02,33.36,33.13,32.99,32.8,32.93,33.16,32.54,32.63,32.62,32.96,33.43,33.55,33.35,33.62,34.07,33.69,33.25,32.61,32.68,33.39,31.42,31.9,31.53,31.72,31.26,31.71,31.68,32.03,32.54,32.45,32.18,32.36,32.22,32.53,32.7,32.38,31.75,31.54,31.72,32.42,32.31,32.24,32.31,32.32,32.38,32.35,32.37,32.35,33.08,33.07,33.26,33.1,32.97,32.68,33.25,33.16,33.6,33.45,33.18,33.69,33.69,33.81,33.88,34.34,35.09,34.85,34.78,34.74,34.19,34.3,34.41,33.86,33.8,33.97,33.59,33.75,33.76,34.04,33.98,34.57,33.99,34.26,34.03,34.4,34.11,34.59,34.44,34.82,34.83,34.66,34.91,34.85,34.75,35.19,35.44,35.24,35.27,35.43,34.8,35.26,35.42,35.21,35.15,34.88,35.02,34.78,34.83,34.79,34.59,34.61,34.89,34.83,34.53,34.38,34.56,33.62,33.53,33.45,33.36,33.05,33.38,33.58,33.3,33.25,33.41,33.65,33.82,34.05,33.9,35.35,35.54,35.06,35.55,35.71,35.42,35.55,35.54,35.79,35.81,36.49,36.57,36.81,37.43,37.06,37.05,36.98,36.61,37.18,37.54,38.33,38.1,37.75,37.72,37.2,36.73,36.88,37.59,37.5,37.41,36.87,37.06,37.35,37.4,37.56,37.66,37.1,36.59,36.22,35.87,35.97,36.53,36.74,36.66,36.41,36.24,36.34,36.27,36.09,36.5,36.46,36.62,37.44,37.81,38.43,38.29,38.22,38.44,38.78,38.23,37.79,37.11,37.04,36.82,36.42,35.95,36.25,37.81,38.02,37.69,37.94,38.21,38.31,36.63,36.55,36.67,36.77,37.2,37.52,37.26,36.62,37.73,37.12,37.94,39.33,39.64,39.58,40.14,40.06,40.06,39.35,39.48,39.03,38.93,38.9,38.79,38.61,38.82,38.91,38.53,38.28,38.58,37.61,36.94,37.16,37.41,37.65,37.97,37.88,37.11,36.99,36.74,36.81,36.29,35.66,36.39,36.09,36.55,36.75
Adj Close,BAX,65.95,67.01,67.17,67.92,68.02,68.12,67.19,67.22,67.1,66.44,66.96,67.94,68.74,68.93,68.34,68.87,69.76,70.95,70.74,70.45,70.72,68.68,67.31,64.33,65.46,64.36,61.42,63.14,63.82,63.46,64.83,65.23,65.13,65.82,65.83,66.21,67.12,67.89,67.44,66.56,65.26,65.23,65.79,65.95,65.96,66.75,67.8,67.42,67.01,66.22,66.52,66.82,65.7,65.85,65.41,64.51,63.27,64.45,63.84,62.84,64.01,62.43,63.01,63.39,64.48,62.88,63.77,65.15,63.91,64.73,64.68,65.24,65.8,66.16,65.92,65.99,66.12,65.1,65.47,68.88,69.1,68.4,69.04,69.32,68.66,69.27,69.22,68.35,68.22,69.48,69.4,70.07,69.34,69.62,69.53,69.48,70.96,70.59,71.21,71.26,71.38,70.6,70.73,69.9,71.74,73.22,73.28,74.29,73.37,73.79,74.2,74.35,73.59,74.41,74.23,73.32,73.19,72.36,72.77,73.34,72.62,72.17,71.59,72.83,72.86,72.78,72.1,72.83,73.39,73.68,73.64,73.34,73.79,73.79,73.03,73.76,73.71,73.75,74.01,73.95,74.54,75.5,72.74,70.76,70.42,71.49,71.79,71.29,71.39,71.56,71.58,71.71,71.12,70.56,69.78,69.78,70.31,70.63,71.09,71.25,70.69,71.19,71.03,71.39,72.02,72.09,72.98,73.11,73.58,73.99,73.28,73.72,73.79,74.09,75.06,75.27,76.31,76.86,76.22,76.42,76.81,76.86,76.54,76.92,76.63,76.08,75.78,76.27,76.97,76.48,75.1,73.46,73.39,72.55,72.2,70.43,69.42,70.49,70.11,70.99,71.67,69.72,68.72,68.28,68,66.77,67.12,66.38,66.32,67.93,61.84,62.4,61.52,61.83,62.75,62.82,63.19,62.8,60.9,62.36,63.15,65.13,65.8,64.33,63.5,64.83,64.77,65.28,65.26,67.59,67.29,68.01,68.65,66.73,66.26,64.51,64.96,65.67,66.47,66.42,65.18,63.68,64.6,63.54,62.18,62.4,60.96,63.62,65.04,64.69,65.3
Adj Close,BIIB,334.17,339.85,339.99,342.49,329.65,336.36,336.72,333.07,335.95,338.85,344.87,344.44,342.41,347.64,346.75,346.5,353.74,367.91,358.48,352.59,347.81,346,343.83,328.31,332.86,326.89,311.79,316.78,316.63,316.99,296.08,299.38,291.87,287.45,286.1,284.81,292.78,290.01,290.1,288.99,282.35,286.96,286.95,285.98,284.54,284.69,286.1,279.9,283.24,285.72,286.7,287.62,278.37,279.68,277.29,271.89,260.13,268.2,265.16,271.82,273.82,266.89,266.48,272.4,264.98,257.65,257.52,265.09,265.99,267.44,265.39,263.11,264.75,268.03,266.02,263.02,259.3,262.15,269.45,273.86,276.8,273.6,274.61,274.13,266.44,270.34,269.7,269.73,274.03,274,282.39,282.34,276.06,281.51,280.57,280.4,277.67,279.69,283.75,284.41,286.21,287.09,294.4,293.96,297.09,298.91,298.64,303.75,305.37,303.29,306.68,306.19,306.91,305.68,305.03,289.12,292.04,296.86,297.34,296.04,292.19,291.92,287.93,288.75,290.24,295.77,293.51,298.81,357.48,354,344.82,344.1,347.66,348.48,353.03,354.98,358.51,358.11,358.71,358.13,372.84,383.83,344.74,340.4,331.46,334.37,344.06,347.93,344.21,341.17,350.1,350.09,346.9,343,340.79,343.63,340.72,342.93,345.22,344.11,343.28,344.98,341.89,342.33,342.7,345.53,349.99,352.74,353.49,346.72,346.6,341.34,339.65,340.25,337.7,340.03,340.58,338.68,334.4,336.89,338.91,341.24,345.41,347.02,341.65,349.37,355.6,353.31,352.56,345.41,352.75,343.1,342.08,343.03,344.57,337.53,327.27,330.94,328.41,338.61,338.23,330.15,320.41,315.54,316.15,302.05,298.47,300.17,300.96,306.28,304.27,315.33,312.7,317.15,320.28,331.51,326.04,325.2,318.9,319.08,313.55,321.72,324.05,319.21,319.48,315.56,320.08,319.5,323.81,332.24,326.61,333.72,332.19,322.73,326.7,316.73,319.44,319.79,322.61,320.14,314.55,313.1,294.75,292.69,292.33,280.6,278.5,295.17,294.41,293.52,300.92
Adj Close,BMY,57.72,57.77,58.51,58.65,58.67,58.61,58.76,59.2,59.52,56.78,58.61,58.59,59.02,59.96,60.11,60.42,60.19,60.88,61.05,60.61,59.32,59.51,60.15,57.77,57.71,59.35,59.41,59.42,59.85,60.52,61.93,65.37,65.35,63.82,63.04,62.49,64.39,65.03,64.29,62.73,62.25,62.7,63.32,62.04,62.64,63.25,64.36,63.92,63.19,63.14,62.78,63.11,62.61,62.95,62.64,60.6,58.81,60.08,59.14,59.29,59.94,58.75,59.48,59.68,59.42,58.06,57.68,58.37,57.39,56.11,55.93,51.57,49.95,49.88,49.22,48.8,48.54,49.19,49.36,49.63,49.85,49.71,50.25,49.11,49.07,48.95,48.94,48.19,48.72,48.78,49.46,49.61,49.88,49.79,50.3,50.27,49.82,49.91,50.07,50.25,50.32,49.85,50.56,50.18,50.67,49.07,49.51,50.47,50.18,50.7,50.66,50.67,50.98,51.15,52.26,51.16,51.15,51.74,51.44,52.59,52.14,52.37,51.95,52.74,52.78,52.63,53.07,53.74,54.33,54.22,53.96,53.55,54.57,54.62,54.2,54.4,54.64,54.31,54.47,53.68,55.96,56.71,55.64,54.68,56.61,56.43,57.27,56.93,56.83,57.05,56.65,57.8,57.18,56.97,57.08,57.6,57.88,58.7,58.49,57.94,57.71,58.18,57.72,57.61,57.64,57.8,58.71,58.3,58.16,58.1,58.79,58.54,58.89,58.46,58.1,57.95,58.39,58.3,58.88,59.06,58.4,59.32,59.8,59.16,59.38,59.19,59.51,59.63,59.65,60.32,60.18,60.29,60.33,60.81,61.13,58.75,55.59,55.6,55.69,55.91,56.94,54.12,52.49,49.19,48.97,47.21,47.57,48.75,48.08,48.36,48.86,50.4,49,50.3,49.64,51.23,51.05,51.61,51.09,50.84,50.84,51.5,52.27,51.7,51.74,51.43,51.17,50.98,49.45,50.27,50.1,51.68,51.51,50.3,51.48,51.31,50.83,50.69,51.66,51.86,50.39,49.23,49.85,48.71,48.4,48.16,47.14,48.37,48.73,49.25,50.25
Adj Close,CELG,106.16,109.14,106.68,104.99,104.18,105.49,105.46,104.58,106,104.82,102.02,101.72,102.65,102.91,104.55,103.11,104.39,105.17,103.26,101.58,101.16,100.34,99.8,93.74,96.25,95.16,91.02,92.51,91.51,91.98,94.39,96.14,95.26,93.85,93.89,93.78,95.61,96.49,95.78,87.12,87.19,89.33,89.04,89.17,90.22,91.19,92.56,92.28,91.56,91.61,89.91,89.61,88.53,88.27,88.31,86.91,84.98,87.17,85.81,88.41,89.21,87.07,86.83,90.47,88.84,86.95,86.94,89.44,88.71,89.74,89.4,90.54,91.1,91.01,89.62,88.95,89.49,89.14,89.2,92.08,91.18,87.1,87.93,86.9,85.4,86.89,84.57,83.13,82.8,82.38,84.54,85.31,81.98,81.36,79.98,78.37,74.69,76.61,77.66,79.54,78.63,77.83,77.97,78.68,79.04,78.65,77.97,78.79,78.79,79.06,78.33,77.47,77.38,78.39,78.08,77.73,79.44,79.77,79.14,78.8,78.53,78.31,77.25,76.66,79.42,79.51,78.65,80.39,82.44,83.85,84.56,83.33,85.6,85.69,85.23,85.85,85.78,85.34,85.1,85.08,87.17,87.67,88.31,86.43,88.91,90.09,90.19,90.55,90.44,89.24,90.31,91.24,91.92,91.21,91.97,92.71,89.27,90.15,90.37,90.88,91.2,90.64,89.84,89.93,91.52,92.43,94.14,94.26,94.45,91.61,92.19,89.89,90.46,89.15,87.23,86.8,88.74,87.17,87.2,87.61,87.38,88.3,87.72,87.56,87.57,88.3,89.25,89.49,89.88,91.86,91.87,88.6,87.27,87.49,86.76,84.23,80.71,82.58,81.83,84.28,84.28,82.95,82.41,80.61,79.77,74.71,72.72,72.45,71.43,72.34,71.6,75.61,74.19,74.27,75.09,75.46,75.23,74.02,71.02,70.24,69.63,69.98,69.65,69.4,66.75,67.54,66.65,68,69.19,70.98,70.16,72.22,73.42,72.47,72.8,70.08,68.68,69.49,70.9,69.74,68.2,68.13,66.63,65.58,64.52,60.92,59.21,62.5,62.81,62.43,64.09
Adj Close,DHR,91.52,92.73,93.18,93.76,94.3,97.62,97.26,97.6,98.4,98.48,98.59,98.74,99.55,98.97,98.95,100.37,101.67,102.76,102.65,100.58,100.27,100.84,101.16,95.73,96.08,94.3,91.24,93.52,94.46,94.03,95.14,96.5,96.56,95.88,96.38,96.39,98.34,99.82,98.57,96.8,95.03,95.26,96.6,96.77,99.81,100.59,102.7,102.37,101.77,101.16,101.2,100.91,99.31,99.55,98.81,96.52,94.98,97.18,96.28,95.71,97.09,95.3,97.41,98.23,98.39,95.85,96.78,98.69,97.6,98.17,98.41,99.58,100.84,101.54,100.65,100.49,100.35,99.26,99.65,100.93,100.79,99.48,100.05,98.73,98.17,99.36,98.75,98.35,98.71,100.32,100.96,101.81,99.4,99.86,99.94,100.4,101.38,100.56,101.46,101.43,101.28,99.71,100.4,98.45,99.75,101.02,101.24,101.94,101.64,102.14,102.38,102.3,101.76,101.78,101.45,100.42,99.19,98.31,97.09,98.47,98.03,98.29,97.33,97.95,98.01,97.47,97.81,98.19,98.66,98.83,99.48,97.9,98.95,98.53,97.51,98.91,98.11,102.5,100.61,102.44,102.85,102.84,103.09,102.06,101.12,101.89,101.31,100.77,100.69,101.62,101.57,101.26,101.02,99.65,99.19,100.11,99.41,99.8,100.03,99.9,99.93,100.01,99.08,99.47,101.77,102.01,102.96,102.31,102.84,102.85,103.31,103.89,103.95,104.42,104.54,105.08,106.69,106.15,105.25,106.04,106.78,107.24,107.35,107.1,107.29,108.16,107.61,108.09,108.71,108.38,107.96,106.43,106.41,105.05,106.17,103.29,100.73,102.83,101.45,104.49,104.4,100.7,99.86,98.04,96.9,95.3,97.77,96.63,96.34,97.2,98.87,99.99,100.71,101.22,100.68,103.52,104.2,103.84,101.01,99.96,100.21,101.11,102.65,100.76,101.43,102.4,101.87,102.73,103.45,106.4,107.37,108.96,108.07,105.74,104.31,101.33,101.18,100.78,101.49,101.96,99.87,99.84,100.19,100.12,97.84,97.96,94.35,99.43,101.13,101.45,102.74
